,text,label,location,tokens,stopWordsRemovedTokens,rawFeatures,features,prediction
0,I'm at Cebeci Home's in ?stanbul https://t.co/l8mtLk7LiV,1,"[28.77226987, 40.99962011]","[""i'm"", 'at', 'cebeci', ""home's"", 'in', 'i?stanbul', 'https://t.co/l8mtlk7liv']","['cebeci', ""home's"", 'i?stanbul', 'https://t.co/l8mtlk7liv']","(1048576,[68823,390894,443684,786850],[1.0,1.0,1.0,1.0])","(1048576,[68823,390894,443684,786850],[2.8903717579,2.8903717579,2.8903717579,2.8903717579])",3
1,"See our latest #Madrid, IA #job and click to apply: CMA, LPN, RN - Madrid Family Practice - FT - Days -… https://t.co/pqYdM3YfXp",0,"[-93.8275718, 41.8782865]","['see', 'our', 'latest', '#madrid,', 'ia', '#job', 'and', 'click', 'to', 'apply:', 'cma,', 'lpn,', 'rn', '-', 'madrid', 'family', 'practice', '-', 'ft', '-', 'days', '-…', 'https://t.co/pqydm3yfxp']","['see', 'latest', '#madrid,', 'ia', '#job', 'click', 'apply:', 'cma,', 'lpn,', 'rn', '-', 'madrid', 'family', 'practice', '-', 'ft', '-', 'days', '-…', 'https://t.co/pqydm3yfxp']","(1048576,[122254,204984,215995,357978,373594,398402,523023,523085,569819,666269,770186,811130,818675,822192,856842,859041,1031255,1031345],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[122254,204984,215995,357978,373594,398402,523023,523085,569819,666269,770186,811130,818675,822192,856842,859041,1031255,1031345],[1.97408102602,2.8903717579,2.19722457734,2.8903717579,2.8903717579,2.48490664979,2.8903717579,2.8903717579,6.59167373201,2.8903717579,2.19722457734,2.8903717579,2.8903717579,2.8903717579,2.48490664979,2.8903717579,2.48490664979,2.8903717579])",3
2,"https://t.co/PM8Lq7jLkG https://t.co/lp1qxAZy8X""",1,"[72.8826, 19.0728]","['https://t.co/pm8lq7jlkg', 'https://t.co/lp1qxazy8x""']","['https://t.co/pm8lq7jlkg', 'https://t.co/lp1qxazy8x""']","(1048576,[510371,602783],[1.0,1.0])","(1048576,[510371,602783],[2.8903717579,2.8903717579])",3
3,"Severe Thunderstorm Warning continues for Follett TX, Gate OK, Knowles OK until 12:45 PM CDT https://t.co/8Ed7alIhBU",0,"[-100.12051662, 36.68270221]","['severe', 'thunderstorm', 'warning', 'continues', 'for', 'follett', 'tx,', 'gate', 'ok,', 'knowles', 'ok', 'until', '12:45', 'pm', 'cdt', 'https://t.co/8ed7alihbu']","['severe', 'thunderstorm', 'warning', 'continues', 'follett', 'tx,', 'gate', 'ok,', 'knowles', 'ok', '12:45', 'pm', 'cdt', 'https://t.co/8ed7alihbu']","(1048576,[122516,227101,273935,301995,312392,370701,398538,492421,547466,627112,651793,685204,729696,958338],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[122516,227101,273935,301995,312392,370701,398538,492421,547466,627112,651793,685204,729696,958338],[2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579])",3
4,"I'm at Little Caesars in Santo Domingo, Nacional https://t.co/rz4h9EA5I2",1,"[-69.91036566, 18.46481774]","[""i'm"", 'at', 'little', 'caesars', 'in', 'santo', 'domingo,', 'nacional', 'https://t.co/rz4h9ea5i2']","['little', 'caesars', 'santo', 'domingo,', 'nacional', 'https://t.co/rz4h9ea5i2']","(1048576,[442304,443663,451826,687865,900899,934684],[1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[442304,443663,451826,687865,900899,934684],[2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579])",1
5,"humidity down 87% -&gt; 82%""",0,"[-122.49, 37.64]","['humidity', 'down', '87%', '-&gt;', '82%""']","['humidity', '87%', '-&gt;', '82%""']","(1048576,[202972,498613,547120,665124],[1.0,1.0,1.0,1.0])","(1048576,[202972,498613,547120,665124],[2.19722457734,2.8903717579,2.8903717579,2.8903717579])",3
6,"I'm at Starbucks Trolley in Kuwait, Al JAHRAA ROAD ( AL-DOHA) https://t.co/iODFMKkTts",1,"[47.81136377, 29.31203659]","[""i'm"", 'at', 'starbucks', 'trolley', 'in', 'kuwait,', 'al', 'jahraa', 'road', '(', 'al-doha)', 'https://t.co/iodfmkktts']","['starbucks', 'trolley', 'kuwait,', 'al', 'jahraa', 'road', '(', 'al-doha)', 'https://t.co/iodfmkktts']","(1048576,[106803,145687,466956,627825,628109,772100,823701,880824,929849],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[106803,145687,466956,627825,628109,772100,823701,880824,929849],[2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579])",3
7,"https://t.co/le4lpGqeK5 https://t.co/GamV6dYNML""",0,"[3.39583, 6.45306]","['https://t.co/le4lpgqek5', 'https://t.co/gamv6dynml""']","['https://t.co/le4lpgqek5', 'https://t.co/gamv6dynml""']","(1048576,[548414,999025],[1.0,1.0])","(1048576,[548414,999025],[2.8903717579,2.8903717579])",3
8,Ommegang Rare Vos on tap now. https://t.co/9iGHeHpD99 @BreweryOmmegang #YankeesSteakhouse #BeerMenus,0,"[-73.9774474, 40.7597501]","['ommegang', 'rare', 'vos', 'on', 'tap', 'now.', 'https://t.co/9ighehpd99', '@breweryommegang', '#yankeessteakhouse', '#beermenus']","['ommegang', 'rare', 'vos', 'tap', 'now.', 'https://t.co/9ighehpd99', '@breweryommegang', '#yankeessteakhouse', '#beermenus']","(1048576,[710,6820,23543,63548,121194,578013,625873,626394,976698],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[710,6820,23543,63548,121194,578013,625873,626394,976698],[2.8903717579,2.8903717579,2.19722457734,2.8903717579,2.8903717579,2.19722457734,2.8903717579,2.19722457734,2.19722457734])",3
9,@SFoskett @rubrikInc @emad_younis @CTOAdvisor @DeepStorageNet @snoopj123 @ExchangeGoddess @timmycarr @vLeahSchoeb… https://t.co/BOp7Ql7AtP,0,"[-122.14516897, 37.41776358]","['@sfoskett', '@rubrikinc', '@emad_younis', '@ctoadvisor', '@deepstoragenet', '@snoopj123', '@exchangegoddess', '@timmycarr', '@vleahschoeb…', 'https://t.co/bop7ql7atp']","['@sfoskett', '@rubrikinc', '@emad_younis', '@ctoadvisor', '@deepstoragenet', '@snoopj123', '@exchangegoddess', '@timmycarr', '@vleahschoeb…', 'https://t.co/bop7ql7atp']","(1048576,[553178,578369,682444,738296,758067,797902,926946,942869,943062,947335],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[553178,578369,682444,738296,758067,797902,926946,942869,943062,947335],[2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579])",3
10,"I'm at Johnny's Tavern in Lawrence, KS https://t.co/1aPe6Xsr81",1,"[-95.30818159, 38.96939924]","[""i'm"", 'at', ""johnny's"", 'tavern', 'in', 'lawrence,', 'ks', 'https://t.co/1ape6xsr81']","[""johnny's"", 'tavern', 'lawrence,', 'ks', 'https://t.co/1ape6xsr81']","(1048576,[209151,276807,288411,310931,840718],[1.0,1.0,1.0,1.0,1.0])","(1048576,[209151,276807,288411,310931,840718],[2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579])",3
11,"Want to work in #KorntalMünchingen, BW? View our latest opening: https://t.co/eR5vMv2q8i #technology #Job #Jobs #Hiring",1,"[9.11486, 48.84894]","['want', 'to', 'work', 'in', '#korntalmünchingen,', 'bw?', 'view', 'our', 'latest', 'opening:', 'https://t.co/er5vmv2q8i', '#technology', '#job', '#jobs', '#hiring']","['want', 'work', '#korntalmünchingen,', 'bw?', 'view', 'latest', 'opening:', 'https://t.co/er5vmv2q8i', '#technology', '#job', '#jobs', '#hiring']","(1048576,[46074,122254,190256,285741,613101,695983,731220,745986,770186,820775,1010001,1018920],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[46074,122254,190256,285741,613101,695983,731220,745986,770186,820775,1010001,1018920],[2.8903717579,1.97408102602,2.8903717579,2.8903717579,2.8903717579,2.48490664979,2.8903717579,2.48490664979,2.19722457734,2.8903717579,2.8903717579,2.8903717579])",3
12,"wind 2kmh -&gt; 6kmh""",0,"[-4.73, 41.64]","['wind', '2kmh', '-&gt;', '6kmh""']","['wind', '2kmh', '-&gt;', '6kmh""']","(1048576,[11327,202972,381390,832345],[1.0,1.0,1.0,1.0])","(1048576,[11327,202972,381390,832345],[2.8903717579,2.19722457734,2.48490664979,2.8903717579])",4
13,"I'm at Honda Argenta in Pachuca, HGO w/ @helenpalmas https://t.co/sR5fK7hL0w https://t.co/pvJufelDef",0,"[-98.74640845, 20.08950116]","[""i'm"", 'at', 'honda', 'argenta', 'in', 'pachuca,', 'hgo', 'w/', '@helenpalmas', 'https://t.co/sr5fk7hl0w', 'https://t.co/pvjufeldef']","['honda', 'argenta', 'pachuca,', 'hgo', 'w/', '@helenpalmas', 'https://t.co/sr5fk7hl0w', 'https://t.co/pvjufeldef']","(1048576,[347797,437943,456051,730968,821797,944905,964679,996640],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[347797,437943,456051,730968,821797,944905,964679,996640],[2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579])",5
